iter	Passed	Remaining
418	688	954
419	689	952
420	691	951
421	693	949
422	694	947
423	696	945
424	697	943
425	699	942
426	700	940
427	702	938
428	703	936
429	704	934
430	706	932
431	708	930
432	709	928
433	710	926
434	711	924
435	713	922
436	714	920
437	716	919
438	718	918
439	719	916
440	721	914
441	723	912
442	724	911
443	727	910
444	728	909
445	730	906
446	731	904
447	732	902
448	734	900
449	735	898
450	736	896
451	738	894
452	739	893
453	741	891
454	742	889
455	743	887
456	745	885
457	746	883
458	747	880
459	748	878
460	749	876
461	751	874
462	752	873
463	754	871
464	755	869
465	757	867
466	758	865
467	760	864
468	761	862
469	762	860
470	764	858
471	765	856
472	768	855
473	769	854
474	771	852
475	773	851
476	775	849
477	776	847
478	777	845
479	778	843
480	780	842
481	782	841
482	784	839
483	785	837
484	787	836
485	789	834
486	790	832
487	792	831
488	793	829
489	794	827
490	795	825
491	797	823
492	798	821
493	800	819
494	801	817
495	803	816
496	804	814
497	806	812
498	807	810
499	809	809
500	811	808
501	813	806
502	815	805
503	816	803
504	817	801
505	819	799
506	820	797
507	822	796
508	823	794
509	825	792
510	826	791
511	828	789
512	829	787
513	830	785
514	832	783
515	833	781
516	834	779
517	836	778
518	837	776
519	839	774
520	841	773
521	842	771
522	843	769
523	845	767
524	846	765
525	847	764
526	849	762
527	850	760
528	852	758
529	853	756
530	855	755
531	856	753
532	857	751
533	859	749
534	860	747
535	862	746
536	863	744
537	865	743
538	866	741
539	867	739
540	869	737
541	870	735
542	872	734
543	873	732
544	875	730
545	876	728
546	877	727
547	880	725
548	881	724
549	883	722
550	884	720
551	886	719
552	887	717
553	889	715
554	890	714
555	892	712
556	893	710
557	894	708
558	896	707
559	897	705
560	898	703
561	900	701
562	901	700
563	903	698
564	904	696
565	906	694
566	907	693
567	909	691
568	910	689
569	911	687
570	913	685
571	914	684
572	915	682
573	917	680
574	918	679
575	920	677
576	922	676
577	923	674
578	925	672
579	926	670
580	928	669
581	929	667
582	931	665
583	932	664
584	933	662
585	935	660
586	936	659
587	938	657
588	939	655
589	940	653
590	941	651
591	943	650
592	944	648
593	946	646
594	947	644
595	948	643
596	951	642
597	953	640
598	954	639
599	955	637
600	957	635
601	958	633
602	960	632
603	961	630
604	962	628
605	964	626
606	965	625
607	967	623
608	968	622
609	970	620
610	971	618
611	972	616
612	974	615
613	975	613
614	977	611
615	978	610
616	980	608
617	981	606
618	982	604
619	984	603
620	995	607
621	996	605
622	996	603
623	998	601
624	998	599
625	1000	597
626	1012	602
627	1013	600
628	1015	598
629	1016	596
630	1017	595
631	1019	593
632	1021	592
633	1022	590
634	1028	591
635	1029	589
636	1031	587
637	1032	585
638	1033	584
639	1035	582
640	1036	580
641	1038	579
642	1040	577
643	1041	575
644	1042	573
645	1043	571
646	1044	570
647	1046	568
648	1047	566
649	1049	565
650	1051	563
651	1052	561
652	1054	560
653	1056	558
654	1057	557
655	1059	555
656	1061	554
657	1062	552
658	1063	550
659	1065	549
660	1067	547
661	1068	545
662	1069	543
663	1071	541
664	1072	540
665	1074	538
666	1075	536
667	1077	535
668	1078	533
669	1079	531
670	1080	529
671	1081	528
672	1083	526
673	1084	524
674	1085	522
675	1086	520
676	1087	519
677	1089	517
678	1090	515
679	1091	513
680	1093	512
681	1094	510
682	1095	508
683	1097	506
684	1098	505
685	1100	503
686	1101	501
687	1102	500
688	1104	498
689	1105	496
690	1106	494
691	1108	493
692	1109	491
693	1110	489
694	1112	488
695	1113	486
696	1115	484
697	1116	483
698	1118	481
699	1119	479
700	1121	478
701	1122	476
702	1123	474
703	1125	473
704	1126	471
705	1127	469
706	1129	468
707	1130	466
708	1132	464
709	1133	462
710	1134	461
711	1136	459
712	1137	457
713	1139	456
714	1140	454
715	1141	452
716	1143	451
717	1144	449
718	1146	447
719	1147	446
720	1149	444
721	1151	443
722	1152	441
723	1153	439
724	1155	438
725	1157	436
726	1158	435
727	1161	434
728	1163	432
729	1164	430
730	1166	429
731	1167	427
732	1169	425
733	1170	424
734	1171	422
735	1175	421
736	1176	419
737	1178	418
738	1180	416
739	1181	415
740	1183	413
741	1185	412
742	1186	410
743	1188	408
744	1189	407
745	1191	405
746	1193	404
747	1194	402
748	1196	400
749	1197	399
750	1198	397
751	1200	395
752	1201	394
753	1202	392
754	1204	390
755	1205	389
756	1207	387
757	1208	385
758	1209	384
759	1210	382
760	1212	380
761	1214	379
762	1215	377
763	1217	376
764	1219	374
765	1220	372
766	1222	371
767	1224	369
768	1225	368
769	1227	366
770	1228	364
771	1229	363
772	1231	361
773	1232	359
774	1233	358
775	1236	356
776	1237	355
777	1239	353
778	1240	351
779	1241	350
780	1242	348
781	1244	346
782	1245	345
783	1246	343
784	1248	341
785	1249	340
786	1250	338
787	1252	336
788	1253	335
789	1255	333
790	1257	332
791	1258	330
792	1259	328
793	1261	327
794	1263	325
795	1264	324
796	1265	322
797	1267	320
798	1268	319
799	1269	317
800	1271	315
801	1272	314
802	1273	312
803	1275	310
804	1276	309
805	1278	307
806	1279	306
807	1281	304
808	1283	303
809	1284	301
810	1286	299
811	1287	298
812	1290	296
813	1292	295
814	1294	293
815	1295	292
816	1296	290
817	1298	288
818	1300	287
819	1301	285
820	1303	284
821	1304	282
822	1306	280
823	1307	279
824	1309	277
825	1310	276
826	1311	274
827	1313	272
828	1314	271
829	1316	269
830	1317	267
831	1319	266
832	1320	264
833	1321	263
834	1323	261
835	1324	259
836	1326	258
837	1327	256
838	1329	255
839	1330	253
840	1332	251
841	1334	250
842	1335	248
843	1337	247
844	1339	245
845	1340	244
846	1342	242
847	1344	240
848	1346	239
849	1347	237
850	1348	236
851	1350	234
852	1352	233
853	1353	231
854	1356	230
855	1358	228
856	1360	226
857	1362	225
858	1364	223
859	1365	222
860	1367	220
861	1368	219
862	1370	217
863	1371	215
864	1373	214
865	1375	212
866	1376	211
867	1377	209
868	1378	207
869	1380	206
870	1382	204
871	1383	203
872	1385	201
873	1385	199
874	1387	198
875	1388	196
876	1390	194
877	1392	193
878	1394	191
879	1395	190
880	1397	188
881	1398	187
882	1400	185
883	1401	183
884	1403	182
885	1404	180
886	1405	179
887	1406	177
888	1408	175
889	1409	174
890	1411	172
891	1412	171
892	1413	169
893	1415	167
894	1416	166
895	1418	164
896	1419	162
897	1420	161
898	1421	159
899	1423	158
900	1424	156
901	1426	154
902	1428	153
903	1429	151
904	1431	150
905	1432	148
906	1433	147
907	1435	145
908	1437	143
909	1438	142
910	1440	140
911	1442	139
912	1443	137
913	1445	135
914	1446	134
915	1448	132
916	1449	131
917	1451	129
918	1452	127
919	1453	126
920	1454	124
921	1456	123
922	1458	121
923	1459	120
924	1461	118
925	1462	116
926	1464	115
927	1465	113
928	1467	112
929	1468	110
930	1470	109
931	1472	107
932	1473	105
933	1475	104
934	1477	102
935	1478	101
936	1479	99
937	1480	97
938	1482	96
939	1484	94
940	1485	93
941	1486	91
942	1488	89
943	1489	88
944	1491	86
945	1492	85
946	1494	83
947	1495	82
948	1497	80
949	1499	78
950	1500	77
951	1501	75
952	1503	74
953	1505	72
954	1506	71
955	1508	69
956	1509	67
957	1510	66
958	1511	64
959	1513	63
960	1515	61
961	1516	59
962	1518	58
963	1519	56
964	1520	55
965	1522	53
966	1523	51
967	1525	50
968	1527	48
969	1528	47
970	1529	45
971	1531	44
972	1532	42
973	1534	40
974	1535	39
975	1537	37
976	1538	36
977	1540	34
978	1542	33
979	1544	31
980	1545	29
981	1547	28
982	1549	26
983	1550	25
984	1552	23
985	1553	22
986	1555	20
987	1557	18
988	1559	17
989	1561	15
990	1565	14
991	1567	12
992	1569	11
993	1573	9
994	1580	7
995	1581	6
996	1583	4
997	1584	3
998	1586	1
999	1587	0
