iter	Logloss
0	0.6839392691
1	0.6784474337
2	0.6691570247
3	0.660469181
4	0.6539347431
5	0.6454482378
6	0.6367191614
7	0.629951049
8	0.6224700453
9	0.6145249315
10	0.6079584513
11	0.6012825905
12	0.5939237169
13	0.5883330685
14	0.5814584269
15	0.5741954303
16	0.5692255005
17	0.5630774553
18	0.5566872683
19	0.5501643149
20	0.5440186983
21	0.5410129352
22	0.5358347795
23	0.5307987651
24	0.5249049846
25	0.520088065
26	0.5146113488
27	0.5098930832
28	0.5051484938
29	0.500697688
30	0.4965696345
31	0.4914332758
32	0.4864426725
33	0.4815684113
34	0.4782594811
35	0.4739360885
36	0.4690834735
37	0.465606757
38	0.4618941209
39	0.4578303492
40	0.4534165812
41	0.4493908258
42	0.4464743048
43	0.4419890573
44	0.4376444215
45	0.4347030473
46	0.4323575583
47	0.4287923636
48	0.4252207526
49	0.4220656712
50	0.418672613
51	0.4155600758
52	0.4130560285
53	0.4095411316
54	0.4061584392
55	0.4029477084
56	0.3994168623
57	0.3963928009
58	0.3935122686
59	0.3902452063
60	0.3873580285
61	0.3852003039
62	0.3824231246
63	0.3797755826
64	0.3782600707
65	0.3757775352
66	0.3739399237
67	0.372128869
68	0.3693600814
69	0.3677128173
70	0.365744028
71	0.3635580631
72	0.3616205385
73	0.3600948343
74	0.3586707303
75	0.3570635562
76	0.3556159456
77	0.3536625706
78	0.35133015
79	0.3490022076
80	0.347187367
81	0.3450945941
82	0.3431793598
83	0.3413634925
84	0.3399306035
85	0.339356152
86	0.3380208526
87	0.3361596741
88	0.3343142911
89	0.332632856
90	0.3308447168
91	0.329305834
92	0.3283951343
93	0.3267621193
94	0.3254596522
95	0.3237221257
96	0.3217860972
97	0.3201201303
98	0.3190113886
99	0.3177768298
100	0.3160262761
101	0.3144051769
102	0.3130717271
103	0.3118271428
104	0.310358849
105	0.309187591
106	0.3082659457
107	0.3067692991
108	0.3059413515
109	0.3049933682
110	0.3038609527
111	0.3026416078
112	0.3010509093
113	0.2999878909
114	0.2988855609
115	0.2984869461
116	0.2974722443
117	0.2967534065
118	0.2953775341
119	0.2947515002
120	0.2937870899
121	0.2928990974
122	0.2918587806
123	0.2908532598
124	0.289805618
125	0.2884403768
126	0.2872892466
127	0.2864127822
128	0.2853529621
129	0.2847364597
130	0.2839263841
131	0.2831810228
132	0.2825814884
133	0.2816193849
134	0.2810106354
135	0.2801916756
136	0.2794612162
137	0.2787130596
138	0.2775939269
139	0.2768720383
140	0.2761228005
141	0.2754291889
142	0.2744414414
143	0.2739476282
144	0.273244731
145	0.2724689987
146	0.2713640502
147	0.2706814743
148	0.2700425165
149	0.2693671358
150	0.2690752163
151	0.2680878379
152	0.2673369706
153	0.2665664581
154	0.266150091
155	0.265540996
156	0.2651556724
157	0.264445328
158	0.2636307692
159	0.2629266831
160	0.2624790235
161	0.2619161798
162	0.2614289453
163	0.2609702039
164	0.2608874087
165	0.2602414676
166	0.2595013712
167	0.2589512857
168	0.2582621087
169	0.2576144615
170	0.2569857765
171	0.2565222467
172	0.25619501
173	0.2557071302
174	0.2553860757
175	0.2548061584
176	0.2543635612
177	0.2538685111
178	0.2536325669
179	0.2534291981
180	0.2530907632
181	0.2527277685
182	0.2521892902
183	0.2517109158
184	0.2512168708
185	0.2507939267
186	0.2500593438
187	0.2494574664
188	0.2488392451
189	0.2482536256
190	0.2478787921
191	0.2473405309
192	0.2469454474
193	0.2462736536
194	0.2460982233
195	0.2457023223
196	0.2453163133
197	0.2449600803
198	0.2444583783
199	0.2437238771
200	0.2432512177
201	0.2428992871
202	0.2423849804
203	0.241920519
204	0.2414358667
205	0.2408973373
206	0.2403359194
207	0.2402259341
208	0.2400146872
209	0.2397097561
210	0.2392341041
211	0.2388947597
212	0.2381961128
213	0.2377952396
214	0.2374030992
215	0.236889935
216	0.236256295
217	0.235757157
218	0.2354161249
219	0.2349911097
220	0.2346934456
221	0.2345557513
222	0.2342694578
223	0.2339280599
224	0.233558763
225	0.233353848
226	0.2331397965
227	0.232667735
